"","mode_code","description"
"2","02","Single mode"
"3","03","Truck"
"4","04","For-hire truck"
"5","05","Private truck"
"6","06","Rail"
"7","07","Water"
"8","08","Inland Water"
"9","09","Great Lakes"
"10","10","Deep Sea"
"11","101","Multiple Waterways"
"12","11","Air (incl truck & air)"
"13","12","Pipeline"
"14","13","Multiple mode"
"15","14","Parcel, USPS, or courier"
"16","20","Non-parcel multimode"
"17","15","Truck and rail"
"18","16","Truck and water"
"19","17","Rail and water"
"20","18","Other multiple mode"
"21","19","Other mode"
"22","00","Mode suppressed"
